Label,Sentence
Insufficient information clause for categories,"You share your information as you use and communicate through our  Services , and we share your information to help us operate , provide ,  improve , understand , customize , support , and market our Services ."
Problematic processing clause for categories,"Your phone number , profile information , about information , last  seen information , and receipts may be available to anyone who uses our  Services , although you can configure your Services settings to manage  certain information available to other users and businesses with whom  you communicate ."
Problematic processing clause for categories,Users and businesses with whom you communicate may store or reshare  your information ( including your phone number or messages ) with others  on and off our Services .
Problematic processing clause for categories,You can use your Services settings and the block feature in our  Services to manage the users of our Services with whom you communicate  and certain information you share .
Problematic processing clause for categories,"We help businesses who use WhatsApp measure the effectiveness and  distribution of their services and messages , and understand how people  interact with them on our Services ."
Unclear language clause,"We work with third-party service providers and the Facebook Companies  to help us operate , provide , improve , understand , customize ,  support , and market our Services ."
Insufficient information clause for categories,"When we share information with third-party service providers and the  Facebook Companies in this capacity , we require them to use your  information on our behalf in accordance with our instructions and terms ."
Problematic processing clause for categories,"When you use third-party services or Facebook Company Products that  are integrated with our Services , they may receive information about  what you share with them ."
Problematic processing clause for categories,"For example , if you use a data backup service integrated with our  Services ( like iCloud or Google Drive ) , they will receive information  you share with them ."
Problematic processing clause for categories,"If you interact with a third-party service linked through our Services  , you may be providing information directly to such third party ."
Full information clause for categories,How We Work With Other Facebook Companies
Insufficient information clause for categories,"As part of the Facebook Companies , WhatsApp receives information from , and shares information with , the Facebook Companies ."
Unclear language clause,"We may use the information we receive from them , and they may use the  information we share with them , to help operate , provide , improve ,  understand , customize , support , and market our Services and their  offerings ."
Unclear language clause,"This includes helping improve infrastructure and delivery systems ,  understanding how our Services or theirs are used , helping us provide a  way for you to connect with businesses , and securing systems ."
Full information clause for categories,"We also share information to fight spam , threats , abuse , or  infringement activities and promote safety and security across the  Facebook Company Products ."
Insufficient information clause for categories,"All of our rights and obligations under our Privacy Policy are freely  assignable by us to any of our affiliates , in connection with a merger ,  acquisition , restructuring , or sale of assets , or by operation of  law or otherwise , and we may transfer your information to any of our  affiliates , successor entities , or new owner ."
Full information clause for categories,"We collect , use , and share the information we have as described above :"
Full information clause for categories,"consistent with your consent , which you can revoke at any time ;"
Full information clause for categories,as necessary to comply with our legal obligations ;
Full information clause for categories,"occasionally to protect your vital interests , or those of others ;"
Insufficient information clause for categories,"as necessary for our ( or others ' ) legitimate interests , including  our interests in providing an innovative , relevant , safe , and  profitable service to our users and partners , unless those interests  are overridden by your interests or fundamental rights and freedoms that  require protection of personal data ."
Insufficient information clause for categories,"Under the General Data Protection Regulation or other applicable local  laws , you have the right to access , rectify , port , and erase your  information , as well as the right to restrict and object to certain  processing of your information ."
Insufficient information clause for categories,This includes the right to object to our processing of your  information for direct marketing and the right to object to our  processing of your information where we are performing a task in the  public interest or pursuing our legitimate interests or those of a third  party .
Full information clause for categories,You can access or port your information using our in-app Download My Data feature ( available under Settings > Account ) .
Full information clause for categories,"You can access tools to rectify , update , and erase your information  directly in-app as described in the Managing and Deleting Your  Information section ."
Insufficient information clause for categories,"If we process your information based on our legitimate interests or  those of a third party , or in the public interest , you can object to  this processing , and we will cease processing your information , unless  the processing is based on compelling legitimate grounds or is needed  for legal reasons ."
Insufficient information clause for categories,You can also object to our processing of your information and learn  more about your options for restricting the way we use your information  by going here .
Full information clause for categories,"Where we use your information for direct marketing for our own  Services , you can always object and opt out of future marketing  messages using the unsubscribe link in such communications , or by using  our in-app "" Block "" feature ."
Insufficient information clause for categories,"We store information until it is no longer necessary to provide our  services , or until your account is deleted , whichever comes first ."
Insufficient information clause for categories,"This is a case-by-case determination that depends on things like the  nature of the information , why it is collected and processed , and  relevant legal or operational retention needs ."
Full information clause for categories,"If you would like to manage , change , limit , or delete your  information , we allow you to do that through the following tools :"
Full information clause for categories,You can change your Services settings to manage certain information available to other users .
Full information clause for categories,"You can manage your contacts , groups , and broadcast lists , or use  our block feature to manage the users with whom you communicate ."
Full information clause for categories,"Changing Your Mobile Phone Number , Profile Name And Picture , And About Information ."
Full information clause for categories,You must change your mobile phone number using our in-app change  number feature and transfer your account to your new mobile phone number  .
Full information clause for categories,"You can also change your profile name , profile picture , and about information at any time ."
Insufficient information clause for categories,"Be mindful that if you only delete our Services from your device  without using our in-app delete my account feature , your information  may be stored with us for a longer period ."
Full information clause for categories,"We collect , use , preserve , and share your information if we have a  good-faith belief that it is reasonably necessary to : ( a ) respond  pursuant to applicable law or regulations , to legal process , or to  government requests ; ( b ) enforce our Terms and any other applicable  terms and policies , including for investigations of potential  violations ; ( c ) detect , investigate , prevent , and address fraud  and other illegal activity , security , or technical issues ; or ( d )  protect the rights , property , and safety of our users , WhatsApp , the  Facebook Companies , or others , including to prevent death or imminent  bodily harm ."
Full information clause for categories,"WhatsApp Ireland shares information globally , both internally within  the Facebook Companies , and externally with our partners and with those  you communicate around the world in accordance with this Privacy Policy  ."
Problematic processing clause for categories,"Information controlled by WhatsApp Ireland will be transferred or  transmitted to , or stored and processed , in the United States or other  countries outside of where you live for the purposes as described in  this Privacy Policy ."
Problematic processing clause for categories,These data transfers are necessary to provide the Services set forth  in our Terms and globally to operate and provide our Services to you .
Problematic processing clause for categories,"We utilize standard contract clauses approved by the European  Commission , and may rely on the European Commission 's adequacy  decisions about certain countries , as applicable , for data transfers  from the European Economic Area to the United States and other countries  ."
Full information clause for categories,"WhatsApp Inc. shares information globally , both internally within the  Facebook Companies , and externally with businesses , service providers  , and partners and with those you communicate with around the world ."
Full information clause for categories,"Your information may , for example , be transferred or transmitted to ,  or stored and processed in the United States or other countries outside  of where you live for the purposes as described in this Privacy Policy ."
Problematic processing clause for categories,We will notify you before we make changes to this Privacy Policy and  give you the opportunity to review the revised Privacy Policy before you  choose to continue using our Services .
Insufficient information clause for categories,The Data Protection Officer for WhatsApp Ireland can be contacted here .
Insufficient information clause for categories,"If you have questions about our Privacy Policy , please contact us or write us here :"
Full information clause for categories,"You have the right to lodge a complaint with WhatsApp Ireland 's lead  supervisory authority , The Irish Data Protection Commissioner , or your  local supervisory authority ."
Insufficient information clause for categories,"If you have questions about our Privacy Policy , please contact us or write us here :"
Full information clause for categories,"You should know that no matter what legal basis applies , you always  have the right to request access to , rectification of , and erasure of  your data under the General Data Protection Regulation ( the "" GDPR "" ) ."
Full information clause for categories,"To exercise your rights , see our Privacy Policy under How You Exercise Your Rights ."
Full information clause for categories,"For all people who have legal capacity to enter into an enforceable  contract , we process data as necessary to perform our contracts with  you ( the Terms of Service , the "" Terms "" ) ."
Full information clause for categories,We describe the contractual services for which this data processing is  necessary in Our Services section of the Terms and in the additional  informational resources accessible from our Terms .
Full information clause for categories,The core data uses necessary to provide our contractual services are :
Full information clause for categories,"To provide , improve , customize , and support our Services as described in "" Our Services "" ;"
Full information clause for categories,"To transfer , transmit , store , or process your data outside the EEA ,  including to within the United States and other countries ; and"
Full information clause for categories,"To communicate with you , for example , on Service-related issues ."
Full information clause for categories,"To exercise your rights , visit How You Exercise Your Rights section of the Privacy Policy ."
Unclear language clause,The other legal bases we rely on in certain instances when processing your data are :
Unclear language clause,"For collecting and using information you allow us to receive through  the device-based settings when you enable them ( such as access to your  GPS location , camera , or photos ) , so we can provide the features and  services described when you enable the settings ."
Full information clause for categories,"When we process data you provide to us based on your consent , you  have the right to withdraw your consent at any time and to port that  data you provide to us , under the GDPR ."
Full information clause for categories,"To exercise your rights , visit your device-based settings , your in  app-based settings like your in-app location control , and the How You  Exercise Your Rights section of the Privacy Policy ."
Full information clause for categories,"For people under the age of majority ( under 18 , in most EU countries  ) who have a limited ability to enter into an enforceable contract only  , we may be unable to process personal data on the grounds of  contractual necessity ."
Full information clause for categories,"Nevertheless , when such a person uses our Services , it is in our legitimate interests :"
Full information clause for categories,"To provide , improve , customize , and support our Services as described in Our Services ;"
Full information clause for categories,"To communicate with you , for example , on Service-related issues ."
Full information clause for categories,The legitimate interests we rely on for this processing are :
Full information clause for categories,"To create , provide , support , and maintain innovative Services and  features that enable people under the age of majority to express  themselves , communicate , discover , and engage with information and  businesses relevant to their interests , build community , and utilize  tools and features that promote their well-being ;"
Full information clause for categories,"To secure our platform and network , verify accounts and activity ,  combat harmful conduct , detect and prevent spam and other bad  experiences , and keep our Services and all of the free of harmful or  inappropriate content , and investigate suspicious activity or  violations of our terms or policies and to protect the safety of people  under the age of majority , including to prevent exploitation or other  harms to which such individuals may be particularly vulnerable ."
Full information clause for categories,The legitimate interests we rely on for this processing are :
Full information clause for categories,"To provide accurate and reliable reporting to businesses and other  partners , to ensure accurate pricing and statistics on performance ,  and to demonstrate the value our partners realise using our Services ;  and"
Full information clause for categories,"In the interests of businesses and other partners to help them  understand their customers and improve their businesses , validate our  pricing models , and evaluate the effectiveness and distribution of  their services and messages , and understand how people interact with  them on our Services ."
Full information clause for categories,The legitimate interests we rely on for this processing are :
Full information clause for categories,To promote Facebook Company Products and issue direct marketing .
Full information clause for categories,To share information with others including law enforcement and to respond to legal requests .
Full information clause for categories,See our Privacy Policy under Law and Protection for more information .
Full information clause for categories,The legitimate interests we rely on for this processing are :
Full information clause for categories,"To prevent and address fraud , unauthorised use of the Facebook  Company Products , violations of our terms and policies , or other  harmful or illegal activity ; to protect ourselves ( including our  rights , property or Products ) , our users or others , including as  part of investigations or regulatory inquiries ; or to prevent death or  imminent bodily harm ."
Full information clause for categories,To share information with the Facebook Companies to promote safety and security .
Full information clause for categories,"See our Privacy Policy under "" How We Work with Other Facebook Companies "" for more information ."
Full information clause for categories,The legitimate interests we rely on for this processing are :
Full information clause for categories,"To secure systems and fight spam , threats , abuse , or infringement  activities and promote safety and security across the Facebook Company  Products ."
Full information clause for categories,"You have the right to object to , and seek restriction of , such  processing ; to exercise your rights , visit How You Exercise Your  Rights section of the Privacy Policy ."
Full information clause for categories,"For processing data when the law requires it , including , for example , if there is a valid legal request for certain data ."
Full information clause for categories,See our Privacy Policy under Law and Protection for more information .
Full information clause for categories,Protection of your vital interests or those of another person :
Full information clause for categories,"The vital interests we rely on for this processing include protection  of your life or physical integrity or that of others , and we rely on it  to combat harmful conduct and promote safety and security , for example  , when we are investigating reports of harmful conduct or when someone  needs help ."
Full information clause for categories,Tasks carried out in the public interest :
Full information clause for categories,"For undertaking research and to promote safety and security , as  described in more detail in our Privacy Policy under How We Use  Information , where this is necessary in the public interest as laid  down by European Union law or Member State law to which we are subject ."
Full information clause for categories,"When we process your data as necessary for a task carried out in the  public interest , you have the right to object to , and seek restriction  of , our processing ."
Full information clause for categories,"To exercise your rights , go to How You Exercise Your Rights section of the Privacy Policy ."
Problematic processing clause for categories,"WhatsApp may transfer data within the Facebook family of companies and  to third parties , including service providers and other partners ."
None,WhatsApp Privacy Policy
None,"Last modified : April 24 , 2018"
None,Respect for your privacy is coded into our DNA .
None,"Since we started WhatsApp , we 've aspired to build our Services with a set of strong privacy principles in mind ."
None,We are part of the Facebook Companies .
None,"Our  Privacy Policy ( "" Privacy Policy "" ) helps explain our information (  including message ) practices , including the information we process to  support our Services ."
None,"For example , we talk about what information we collect and how this affects you ."
None,We  also explain the steps we take to protect your privacy - like building  WhatsApp so delivered messages are not stored and giving you control  over who you communicate with on our Services .
None,This Privacy Policy applies to all of our Services unless specified otherwise .
None,"Please also read WhatsApp 's Terms of Service ( "" Terms "" ) , which describes the terms under which you use our Services ."
None,Information We Collect
None,The types of information we receive and collect depend on how you use our Services .
None,Information You Provide
None,Your Account Information .
None,Your Messages .
None,Your messages are stored on your own device .
None,"We  also offer end-to-end encryption for our Services , which is on by  default , when you and the people with whom you message use a version of  our app released after April 2 , 2016 ."
None,End-to-end encryption means that your messages are encrypted to protect against us and third parties from reading them .
None,Learn more about End-to-End Encryption and Businesses on WhatsApp .
None,Your Connections .
None,You give your groups a name .
None,You may choose to provide a group profile picture or description .
None,Your Use Of Our Payments Services .
None,Customer Support .
None,"For example , you may send us an email with information relating to our app performance or other issues ."
None,Automatically Collected Information
None,Usage And Log Information .
None,.
None,Device And Connection Information .
None,Location Information .
None,"We  use various technologies to determine location , including IP , GPS ,  Bluetooth signals , and information about nearby Wi-Fi access points ,  beacons , and cell towers ."
None,Cookies .
None,"We  use cookies to operate and provide our Services , including to provide  our Services that are web-based , improve your experiences , understand  how our Services are being used , and customize our Services ."
None,"For example , we use cookies to provide WhatsApp for web and desktop and other web-based services ."
None,We  may also use cookies to understand which of our FAQs are most popular  and to show you relevant content related to our Services .
None,"Additionally  , we may use cookies to remember your choices , like your language  preferences , to provide a safer experience , and otherwise to customize  our Services for you ."
None,Learn more about how we use cookies to provide you our Services .
None,Third-Party Information
None,Information Others Provide About You .
None,Businesses On WhatsApp .
None,"A  business on WhatsApp may also use another company to assist it in  storing , reading , and responding to your messages on behalf of and in  support of that business ."
None,"Please  note that when businesses use third-party services , their own terms  and privacy policies will govern your use of those services and their  use of your information on those services ."
None,Third-Party Service Providers .
None,"For  example , we work with companies to distribute our apps , provide our  infrastructure , delivery , and other systems , supply location , map ,  and places information , process payments , help us understand how  people use our Services , market our Services , help you connect with  businesses using our Services , conduct surveys and research for us ,  and help with customer service ."
None,Third-Party Services .
None,We allow you to use our Services in connection with third-party services and Facebook Company Products .
None,"Please  note that when you use third-party services or Facebook Company  Products , their own terms and privacy policies will govern those  services ."
None,How We Use Information
None,Here 's how :
None,Our Services .
None,Safety And Security .
None,Communications About Our Services And The Facebook Companies .
None,Please see How You Exercise Your Rights for more information .
None,No Third-Party Banner Ads .
None,We still do not allow third-party banner ads on WhatsApp .
None,"We have no intention to introduce them , but if we ever do , we will update this policy ."
None,Commercial Messaging .
None,"We  will allow you and third parties , like businesses , to communicate  with each other using WhatsApp , such as through order , transaction ,  and appointment information , delivery and shipping notifications ,  product and service updates , and marketing ."
None,"For  example , you may receive flight status information for upcoming travel  , a receipt for something you purchased , or a notification when a  delivery will be made ."
None,"Measurement , Analytics , And Other Business Services ."
None,Information You And We Share
None,Send Your Information To Those You Choose To Communicate With .
None,You share your information ( including messages ) as you use and communicate through our Services .
None,Account Information .
None,Your Contacts And Others .
None,Businesses On WhatsApp .
None,Third-Party Service Providers .
None,Third-Party Services .
None,"Please  note that when you use third-party services or Facebook Company  Products , their own terms and privacy policies will govern your use of  those services ."
None,We are part of the Facebook Companies .
None,"However , your WhatsApp messages will not be shared onto Facebook for others to see ."
None,"In  fact , Facebook will not use your WhatsApp messages for any purpose  other than to assist us in operating and providing our Services ."
None,Learn More about how WhatsApp works with the Facebook Companies .
None,"Assignment , Change Of Control , And Transfer"
None,How The General Data Protection Regulation Applies To Our European Region Users
None,Our Legal Bases For Processing Information
None,as necessary to fulfill our Terms ;
None,as necessary in the public interest ; and
None,Learn More
None,How You Exercise Your Rights
None,Managing And Deleting Your Information
None,Services Settings .
None,Deleting Your WhatsApp Account .
None,You  may delete your WhatsApp account at any time ( including if you want to  revoke your consent to our use of your information ) using our in-app  delete my account feature .
None,"When  you delete your WhatsApp account , your undelivered messages are  deleted from our servers as well as any of your other information we no  longer need to operate and provide our Services ."
None,"Please  remember that when you delete your account , it does not affect the  information other users have relating to you , such as their copy of the  messages you sent them ."
None,Law And Protection
None,Our Global Operations
None,Updates To Our Policy
None,Contact Information
None,If You Are In The European Region
None,WhatsApp Ireland Limited
None,Attn : Privacy Policy
None,4 Grand Canal Square
None,Grand Canal Harbour
None,Dublin 2
None,Ireland
None,If You Are Outside The European Region
None,WhatsApp Inc .
None,Privacy Policy
None,1601 Willow Road
None,"Menlo Park , California 94025"
None,United States of America
None,How We Process Your Information
None,"Under European law , companies must have a legal basis to process data ."
None,"You have particular rights available to you depending on which legal basis we use , and we 've explained these below ."
None,To promote safety and security ;
None,"These uses are explained in more detail in our Privacy Policy , under How We Use Information and Our Global Operations ."
None,"We  'll use the data we have to provide these services ; if you choose not  to provide certain data , the quality of your experience using WhatsApp  may be impacted ."
None,"When  we process data you provide to us as necessary to perform our contracts  with you , you have the right to port it under the GDPR ."
None,Your Consent :
None,"Our  legitimate interests or the legitimate interests of a third party ,  where not outweighed by your interests or fundamental rights and  freedoms ( "" legitimate interests "" ) :"
None,To promote safety and security ; and
None,"For all people , including those under the age of majority :"
None,"For providing measurement , analytics , and other business services where we are processing data as a controller ."
None,For providing marketing communications to you .
None,"We  will consider several factors when assessing an objection including :  our users ' reasonable expectations ; the benefits and risks to you , us  , other users , or third parties ; and other available means to achieve  the same purpose that may be less invasive and do not require  disproportional effort ."
None,"Your  objection will be upheld , and we will cease processing your  information , unless the processing is based on compelling legitimate  grounds or is needed for legal reasons ."
None,"If  you are under the age of majority in your country and have a limited  ability to enter an enforceable contract , we will take particular  account of the fact that you are below the age of majority and adjust  our assessment of our legitimate interests and the balancing of your  interests and rights accordingly ."
None,Compliance with a legal obligation :
None,"In  evaluating an objection , we 'll evaluate several factors , including :  reasonable user expectations ; the benefits and risks to you and third  parties ; and other available means to achieve the same purpose that may  be less invasive and do not require disproportional effort ."
None,"Your  objection will be upheld , and we will cease processing your  information , unless the processing is based on compelling legitimate  grounds or is needed for legal reasons ."
None,"WHATSAPP INC. , THE EU-U.S. PRIVACY SHIELD AND THE SWISS-U.S. PRIVACY SHIELD"
None,WhatsApp  Inc. ( â€œ WhatsApp â€� ) has certified to the EU-U.S. Privacy Shield  Framework and the Swiss-U.S. Privacy Shield Framework with the U.S.  Department of Commerce regarding the collection and processing of  personal data from our business partners in the European Union and  Switzerland ( â€œ Partners â€� ) in connection with the products and  services described in the Scope section below and in our certification .
None,To learn more about the Privacy Shield program please visit www.privacyshield.gov .
None,Scope  : WhatsApp adheres to the Privacy Shield Principles for the following  areas of our business ( collectively the â€œ Partner Services â€� ) :
None,"WhatsApp  Business Products : WhatsApp creates apps , services , features , APIs ,  software , or website that enable businesses to interact with users of  WhatsApp 's products and services ( â€œ Business Products â€� ) ."
None,Partners  ( the data controllers ) may submit personal information about their  customers to WhatsApp using WhatsApp 's Business Products .
None,"While  Partners decide what information to submit , it typically includes  things like customer phone numbers and other information under the  Partner 's control ."
None,"For more information , customers may contact the relevant Partner ."
None,WhatsApp  uses the personal data provided by Partners to provide Business  Products in accordance with the terms applicable to the relevant  Business Product and otherwise with the Partners ' instructions .
None,WhatsApp  works with its Partners to ensure that individuals are offered  appropriate choices in accordance with the Privacy Shield Principles .
None,Access .
None,"Within  the scope of our authorization to do so , and in accordance with our  commitments under Privacy Shield , WhatsApp will work with its Partners  to provide individuals access to personal data about them that WhatsApp  holds on behalf of its Partners ."
None,"WhatsApp  will also take reasonable steps to enable individuals , either directly  or in connection with the Partners , to correct , amend , or delete  personal data that is demonstrated to be inaccurate ."
None,Third Parties .
None,"In  accordance with the Privacy Shield Principles , WhatsApp is liable for  any processing of personal data by such third parties that is  inconsistent with the Privacy Shield Principles unless WhatsApp was not  responsible for the event giving rise to any alleged damage ."
None,Legal Requests .
None,"Personal  data that is transferred to us by our Partners may be subject to  disclosure pursuant to legal requests or other judicial and government  process , such as subpoenas , warrants , or orders ."
None,"For more information , review the â€œ Law and Protection â€� section of the WhatsApp Privacy Policy ."
None,Enforcement .
None,WhatsApp  's compliance with the Privacy Shield Principles is subject to the  investigatory and enforcement powers of the U.S. Federal Trade  Commission .
None,Questions and Disputes .
None,Please contact us with any questions or concerns relating to our Privacy Shield certification .
None,"You  have the option to resolve any applicable disputes you have with us in  connection with our certification through TrustArc , an alternative  dispute resolution provider based in the United States ."
None,You can contact TrustArc through their website .
None,"In  certain circumstances , the Privacy Shield Framework provides the right  to invoke binding arbitration to resolve complaints not resolved by  other means , as described in Annex I to the Privacy Shield Principles ."
None,"Additionally  , as part of the Privacy Shield Framework , the U.S. State Department  Senior Coordinator serves as the Ombudsperson to facilitate the  processing of requests relating to national security access to data  transmitted from the EU or Switzerland to the U.S."
None,For more information about WhatsApp 's privacy practices please review our Privacy Policy .
None,Intellectual Property Policy : Your Copyrights and Trademarks
None,"WhatsApp  Inc. ( "" WhatsApp , "" "" our , "" "" we , "" or "" us "" ) is committed to  helping people and organizations protect their intellectual property  rights ."
None,"Our  users agree to our Terms of Service ( "" Terms "" ) by installing ,  accessing , or using our apps , services , features , software , or  website ( together , "" Services "" ) ."
None,"Our  Terms do not allow our users to violate someone else 's intellectual  property rights when using our Services , including their copyrights and  trademarks ."
None,"As  explained in more detail in our Privacy Policy , we do not retain our  users ' messages in the ordinary course of providing our Services ."
None,"We  do , however , host our users ' account information , including our  users ' profile picture , profile name , or status message , if they  decide to include them as part of their account information ."
None,Copyright
None,"To  report copyright infringement and request that WhatsApp remove any  infringing content it is hosting ( such as a WhatsApp user 's profile  picture , profile name , or status message ) , please email a completed  copyright infringement claim to ip@whatsapp.com ( including all of the  information listed below ) ."
None,You can also mail a complete copyright infringement claim to WhatsApp 's copyright agent :
None,WhatsApp Inc .
None,Attn : WhatsApp Copyright Agent
None,1601 Willow Road
None,"Menlo Park , California 94025"
None,United States of America
None,ip@whatsapp.com
None,"Before  you report a claim of copyright infringement , you may want to send a  message to the relevant WhatsApp user you believe may be infringing your  copyright ."
None,You may be able to resolve the issue without contacting WhatsApp .
None,Trademark
None,"To  report trademark infringement and request that WhatsApp remove any  infringing content it is hosting , please email a complete trademark  infringement claim to ip@whatsapp.com ( including all of the information  listed below ) ."
None,"Before  you report a claim of trademark infringement , you may want to send a  message to the relevant WhatsApp user you believe may be infringing your  trademark ."
None,You may be able to resolve the issue without contacting WhatsApp .
None,What to include in your copyright or trademark infringement claim to WhatsApp
None,Please include all of the following information when reporting a copyright or trademark infringement claim to WhatsApp :
None,"Your complete contact information ( full name , mailing address , and phone number ) ."
